Ticker,Company Name,Sector,Industry,Exchange,P/BV,P/Tangible BV,P/E,EV/EBITDA,PEG Ratio,P/S,EV/Revenue,EVtoIC,P/Graham Number,P/FCF,P/oFCF,Earnings Yield,Earning Value,COGP,Current Ratio,Quick Ratio,Asset Turnover,Inventory Turnover,Inventory Turnover GR,Days Inventory,Days Inventory GR,Days Payable,Days Payable GR,V score,V warnings
PBR,0,Energy,Oil & Gas Integrated,NYSE,0.96,1.91,0.0,5.45,0,1.18,3.06,0.83,,11.28,2.4,7.68%,64.10%,15.61%,0.97,0.54,0.34,5.33,-8.19% (3GR),68.54,8.93% (3GR),44.7,6.84% (4GR),4.0/12.0,0
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,NYSE,0.92,1.44,52.93,8.2,0,0.9,1.67,0.94,146.87%,-52.67,10.34,-0.02%,29.76%,9.69%,0.78,0.47,0.72,10.65,2.17% (3GR),34.27,-2.13% (3GR),45.15,4.60% (4GR),3.5/12.0,4
RS,Reliance Steel & Aluminum Co,Basic Materials,Steel,NYSE,1.53,3.66,19.69,7.32,0,0.87,1.05,1.26,115.63%,7.25,6.16,7.34%,9.67%,-15.30%,4.46,1.89,1.36,4.54,2.89% (3GR),80.37,-2.81% (3GR),12.76,-1.07% (4GR),7.0/12.0,0
SNAP,Snap Inc,Communication Services,Internet Content & Information,NYSE,31.44,15.96,0.0,-23.43,0,32.96,10.01,13.19,,-306.29,0.0,-4.72%,-133.33%,-20.47%,5.29,5.21,0.51,0.0,0.00% (3GR),0.0,0.00% (3GR),19.15,72.81% (4GR),4.0/12.0,0
DHT,"DHT Holdings, Inc",Energy,Oil & Gas Midstream,NYSE,1.06,1.18,2.73,7.7,0,1.25,2.38,1.09,32.38%,2.14,1.98,20.82%,196.08%,15.26%,1.67,1.35,0.29,11.55,-23.08% (3GR),31.61,30.01% (3GR),7.66,27.30% (4GR),12.0/12.0,1
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,NYSE,7.75,-18.07,26.32,17.08,0,4.98,4.55,3.02,290.03%,23.84,20.07,5.06%,20.16%,23.96%,0.85,0.62,0.6,6.7,-1.46% (3GR),54.44,1.48% (3GR),124.99,4.84% (4GR),2.0/12.0,0
EMN,Eastman Chemical Company,Basic Materials,Chemicals,NYSE,2.34,-22.05,29.38,9.41,0,1.64,1.92,1.11,171.67%,10.52,8.1,6.50%,18.25%,-4.28%,1.86,0.88,0.58,4.34,-1.90% (3GR),84.13,1.94% (3GR),46.15,6.31% (4GR),6.0/12.0,0
KSS,Kohl's Corporation,Consumer Cyclical,Department Stores,NYSE,1.14,1.19,0.0,5.87,0,0.37,0.71,1.02,,5.76,4.09,-1.35%,22.88%,2.91%,1.68,0.26,1.48,3.46,4.35% (3GR),105.41,-4.16% (3GR),36.26,-1.87% (4GR),7.0/12.0,0
BHP,BHP Group,Basic Materials,Other Industrial Metals & Mining,NYSE,3.8,2.61,22.87,6.9,0,4.24,3.29,1.55,197.66%,20.67,11.59,10.44%,31.85%,42.61%,1.45,1.16,0.42,4.24,1.32% (3GR),86.07,-1.30% (3GR),125.01,0.35% (4GR),4.0/12.0,7
TSN,"Tyson Foods, Inc",Consumer Defensive,Farm Products,NYSE,1.62,-9.77,11.72,7.11,0,0.58,0.73,1.03,91.81%,9.37,6.47,9.85%,17.06%,-2.59%,1.86,0.8,1.27,9.16,-6.20% (3GR),39.84,6.61% (3GR),18.11,1.29% (4GR),8.0/12.0,0
