Ticker,Company Name,Sector,Industry,Exchange,Cash/Debt,Interest Coverage,Equity/Assets,Debt/Equity,Debt/Assets,Debt/EBITDA,F-Score,Z-Score,M-Score,WACC,RoC,FS score,FS warnings
GFF,Griffon Corporation,Industrials,Tools & Accessories,NYSE,0.21,2.31,28.50%,149.57%,63.15%,493.87%,4,2.13,-2.31,8.06%,5.55%,1.75/8.0,2
HIL,"Hill International, Inc",Industrials,Engineering & Construction,NYSE,0.37,2.67,40.37%,39.45%,0.00%,159.26%,4,1.91,-2.49,11.98%,9.33%,3.25/8.0,2
PLPC,Preformed Line Products Company,Industrials,Electrical Equipment & Parts,NASDAQ,0.59,17.5,61.98%,24.54%,16.88%,140.43%,5,4.08,-2.31,6.55%,8.33%,5.75/8.0,1
EML,The Eastern Company,Industrials,Tools & Accessories,NASDAQ,0.18,10.0,37.37%,94.29%,58.58%,396.00%,3,2.56,-2.29,5.76%,8.48%,2.75/8.0,3
ULBI,Ultralife Corporation,Industrials,Specialty Industrial Machinery,NASDAQ,0.41,7.0,75.86%,15.45%,15.74%,170.00%,4,2.58,-1.14,10.17%,5.36%,3.0/8.0,3
FCEL,"FuelCell Energy, Inc",Industrials,Electrical Equipment & Parts,NASDAQ,0.87,Exposed,48.47%,67.72%,34.40%,-318.52%,1,6.06,0.3,31.94%,-12.11%,3.0/8.0,5
EBF,"Ennis, Inc",Industrials,Business Equipment & Supplies,NYSE,inf,,80.33%,0.00%,0.00%,0.00%,6,6.87,-2.5,3.51%,14.14%,6.75/8.0,0
DCI,"Donaldson Company, Inc",Industrials,Specialty Industrial Machinery,NYSE,0.38,20.0,43.96%,63.53%,33.69%,142.50%,5,6.51,-2.89,8.27%,15.66%,4.5/8.0,1
RAVN,"Raven Industries, Inc",Industrials,Specialty Industrial Machinery,NASDAQ,inf,,78.16%,0.00%,0.00%,0.00%,4,11.29,-1.95,9.57%,11.14%,4.5/8.0,1
AZZ,AZZ Inc,Industrials,Electrical Equipment & Parts,NYSE,0.18,7.54,59.03%,32.02%,33.22%,157.36%,6,3.81,-2.81,8.97%,7.79%,4.5/8.0,2
LXFR,Luxfer Holdings PLC,Industrials,Specialty Industrial Machinery,NYSE,0.11,9.4,44.62%,52.30%,29.64%,313.79%,4,3.38,-2.04,5.78%,3.87%,3.0/8.0,3
POWL,"Powell Industries, Inc",Industrials,Electrical Equipment & Parts,NASDAQ,inf,,65.04%,0.00%,0.00%,0.00%,3,3.91,-3.41,8.18%,6.07%,6.0/8.0,2
AAL,American Airlines Group Inc,Industrials,Airlines,NASDAQ,0.16,3.37,-0.20%,-20605.93%,45.18%,428.91%,2,0.83,-2.64,4.04%,4.28%,2.75/8.0,3
HL,Hecla Mining Company,Basic Materials,Gold,NYSE,0.12,Exposed,64.16%,29.85%,0.00%,391.47%,7,2.13,0.37,13.02%,-1.59%,2.5/8.0,4
TRQ,Turquoise Hill Resources Ltd,Basic Materials,Copper,NYSE,0.39,34.6,71.50%,45.72%,0.00%,-3408.13%,2,0.31,-2.15,4.65%,1.57%,3.0/8.0,5
UUUU,Energy Fuels Inc,Energy,Uranium,NYSE MKT,1.06,No Debt,72.16%,13.39%,0.00%,-48.57%,4,2.62,1.12,8.29%,-17.33%,5.0/8.0,2
NEM,Newmont Corporation,Basic Materials,Gold,NYSE,0.4,5.12,53.58%,28.66%,0.00%,103.09%,6,2.11,-2.14,1.82%,4.50%,2.5/8.0,2
EGO,Eldorado Gold Corporation,Basic Materials,Gold,NYSE,0.39,1.23,73.46%,14.06%,0.00%,153.85%,7,0.64,-2.18,9.70%,0.81%,3.5/8.0,4
KL,Kirkland Lake Gold Ltd,Basic Materials,Gold,NYSE,inf,,71.03%,0.00%,0.00%,0.00%,6,10.77,-3.36,4.62%,35.81%,6.0/8.0,0
KGC,Kinross Gold Corporation,Basic Materials,Gold,NYSE,0.31,12.47,58.59%,34.54%,0.00%,103.67%,7,0.83,-2.43,6.26%,9.40%,5.25/8.0,2
BTG,B2Gold Corp,Basic Materials,Gold,NYSE MKT,0.54,13.78,74.17%,13.17%,0.00%,34.47%,6,5.92,-0.99,8.23%,10.13%,5.5/8.0,2
AGI,Alamos Gold Inc,Basic Materials,Gold,NYSE,inf,,79.36%,0.00%,0.00%,0.00%,6,2.93,-3.8,8.19%,3.13%,4.0/8.0,1
GORO,Gold Resource Corporation,Basic Materials,Gold,NYSE MKT,7.5,,81.87%,1.27%,0.00%,5.26%,4,4.61,-0.4,11.87%,4.17%,4.5/8.0,2
GFI,Gold Fields Limited,Basic Materials,Gold,NYSE,0.28,7.41,42.33%,66.47%,0.00%,173.99%,8,2.23,-2.69,3.45%,6.33%,4.75/8.0,1
