Name,Market Cap,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/Free Cash Flow,Dividend Yield,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,Float Short,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (Year To Date),Analyst Recom,Change,Stocks
Rental & Leasing Services,61.7831,20.76,14.54,2.65,1.26,1.97,8.22,7.65,0.011000000000000001,0.1167,0.0783,0.0934,0.054299999999999994,0.0351,0.2039,0.2808,0.4386,0.2102,0.1641,2.02,-0.0043,26
REIT-Specialty,335.88638000000003,71.99,48.01,3.97,7.82,7.36,51.97,103.56,0.024700000000000003,0.17379999999999998,0.1816,0.12560000000000002,0.0352,-0.027999999999999997,-0.042699999999999995,-0.045700000000000005,-0.0454,0.1116,0.060700000000000004,2.11,-0.0016,17
REIT-Retail,111.14338000000001,28.74,35.66,4.8,5.55,2.02,14.54,109.17,0.0446,0.08259999999999999,0.0599,0.0638,0.09359999999999999,0.026000000000000002,0.2978,0.1469,0.0404,-0.317,-0.30579999999999996,2.46,0.0014000000000000002,32
REIT-Residential,165.92076999999998,44.77,74.28,8.21,8.44,2.45,51.68,57.26,0.0315,0.1812,0.0545,0.0992,0.026099999999999998,0.0254,0.0926,0.0782,0.0137,-0.1464,-0.1191,2.44,-0.0076,21
REIT-Office,143.02098999999998,28.58,80.03,3.62,6.65,1.64,12.37,119.81,0.037200000000000004,0.2434,0.0789,0.1114,0.0344,0.0013,0.1232,0.0452,-0.0127,-0.13699999999999998,-0.1406,2.3,-0.0108,27
REIT-Mortgage,56.68799,49.65,8.45,609.52,5.06,0.92,4.57,8.23,0.0915,0.001,0.0008,0.285,0.0323,0.0334,0.1986,0.1754,0.17309999999999998,-0.297,-0.2989,2.25,0.0098,38
REIT-Industrial,194.38925,42.21,48.91,10.03,12.2,3.01,76.84,70.61,0.029300000000000003,0.17059999999999997,0.0421,0.1144,0.0276,-0.018600000000000002,-0.050199999999999995,-0.0095,0.0565,0.050300000000000004,0.066,2.28,-0.0076,21
REIT-Hotel & Motel,37.51776,470.1,441.15,30.1,2.86,1.19,5.76,,0.0176,0.0877,0.1562,0.07919999999999999,0.0412,0.0318,0.4946,0.4114,0.20620000000000002,-0.25379999999999997,-0.2686,2.6,0.0083,20
REIT-Healthcare Facilities,108.97432,47.74,46.67,6.29,5.44,1.75,33.66,65.44,0.0473,-0.0121,0.0759,0.1309,0.029500000000000002,0.029300000000000003,0.151,0.0785,0.0917,-0.15130000000000002,-0.1452,2.53,-0.0011,17
REIT-Diversified,90.86238,35.6,29.06,2.86,7.21,1.52,17.78,126.55,0.0472,0.1377,0.1245,0.08470000000000001,0.043899999999999995,0.022799999999999997,0.158,0.1174,0.1393,-0.1176,-0.1,2.23,-0.0005,30
