Ticker,Company Name,Sector,Industry,Exchange,Currency,Price,Market Cap (Millions),Beta,P/Graham Number,Earnings Yield,F-Score,Z-Score,M-Score,P/BV,P/E,EV/EBITDA,P/Operating CF,PEG Ratio,P/S,EV/Revenue,Debt/Equity,Interest Coverage,Dividend Yield,Payout Ratio,RoA,RoE,RoC,WACC,Profit Margin,Current Ratio,Quick Ratio,Asset Turnover,Inventory Turnover,Financial Score,Profitability Score,Valuation Score,Warnings
GFI,Gold Fields Limited,Basic Materials,Gold,NYSE,USD,9.57,7888.77,0.44,199.47%,14.34%,8,2.23,-2.69,2.84,32.02,6.8,8.42,0,2.36,2.16,0.66,7.41,1.04%,34.70%,2.55%,6.03%,6.33%,3.45%,5.45%,0.81,0.44,0.47,5.36,4.75/8.0,9.0/9.0,5.5/12.0,6
NEE,"NextEra Energy, Inc",Utilities,Utilities-Regulated Electric,NYSE,USD,84.21,151754.05,0.16,283.65%,3.00%,5,1.6,-2.55,4.1,38.94,15.29,17.76,0,8.34,8.88,1.15,2.25,1.62%,68.80%,3.40%,10.59%,3.89%,2.34%,19.63%,0.53,0.25,0.17,6.27,1.75/8.0,6.5/9.0,1.5/12.0,12
FSM,Fortuna Silver Mines Inc,Basic Materials,Silver,NYSE,USD,7.78,1483.2,1.37,245.59%,6.57%,5,3.77,-2.66,2.34,65.4,8.36,18.54,0,6.08,3.12,0.23,52.0,0.00%,0.00%,2.76%,3.84%,3.99%,8.33%,9.25%,1.69,1.46,0.3,12.36,4.75/8.0,7.0/9.0,7.5/12.0,9
PAAS,Pan American Silver Corp,Basic Materials,Silver,NASDAQ,USD,32.46,7247.1,1.32,387.14%,3.13%,5,4.74,-1.84,2.94,118.9,10.66,17.21,0,5.52,3.68,0.11,8.65,0.55%,63.70%,4.10%,5.58%,3.84%,8.61%,8.20%,2.9,1.56,0.5,4.0,5.5/8.0,7.5/9.0,5.0/12.0,11
AG,First Majestic Silver Corp,Basic Materials,Silver,NYSE,USD,18.12,2822.4,1.35,,1.25%,5,4.73,-3.83,4.26,0.0,61.96,32.07,0,8.16,7.16,0.24,1.92,0.00%,0.00%,-4.14%,-6.44%,2.80%,8.74%,-10.97%,3.38,2.91,0.38,9.56,4.5/8.0,7.5/9.0,3.5/12.0,11
WPM,Wheaton Precious Metals Corp,Basic Materials,Gold,NYSE,USD,41.07,18741.26,0.38,261.67%,3.24%,8,12.44,0.24,3.52,43.86,36.57,27.2,0,18.14,13.49,0.16,6.47,0.95%,41.00%,1.35%,1.64%,4.63%,3.10%,10.00%,2.39,1.72,0.14,0.0,6.5/8.0,7.5/9.0,4.5/12.0,12
SSRM,SSR Mining Inc,Basic Materials,Gold,NASDAQ,USD,17.59,2574.08,1.26,201.96%,6.91%,7,3.43,-0.27,2.27,40.22,9.47,14.97,0,3.9,3.16,0.25,4.69,0.00%,0.00%,3.50%,5.44%,7.61%,7.84%,9.44%,3.84,2.74,0.37,1.85,6.0/8.0,7.5/9.0,7.0/12.0,10
GPL,Great Panther Mining Limited,Basic Materials,Other Industrial Metals & Mining,NYSE MKT,USD,0.81,278.67,2.49,,5.51%,6,0.35,-0.02,2.79,0.0,-3.33,4.72,0,1.08,0.63,0.27,Exposed,0.00%,0.00%,-47.47%,-105.13%,-26.17%,16.09%,-45.82%,1.14,0.63,1.04,9.37,2.0/8.0,2.5/9.0,5.5/12.0,17
SVM,Silvercorp Metals Inc,Basic Materials,Silver,NYSE MKT,USD,6.46,1143.42,1.05,210.39%,11.69%,5,6.09,-3.32,3.1,28.34,6.45,12.57,0,6.89,2.99,0.0,,0.46%,10.90%,6.77%,9.57%,10.99%,7.03%,21.58%,5.68,5.26,0.31,11.58,7.0/8.0,9.5/9.0,6.5/12.0,7
HMLP,0,Energy,Oil & Gas Midstream,NYSE,USD,15.71,471.9,1.92,,9.85%,6,0.87,-2.64,inf,8.82,8.24,5.49,0,3.23,5.98,0.0,3.2,11.20%,124.80%,3.82%,7.61%,6.94%,8.51%,26.74%,0.94,0.77,0.14,104.0,0.75/8.0,8.5/9.0,7.0/12.0,7
HESM,Hess Midstream LP,Energy,Oil & Gas Midstream,NYSE,USD,20.87,352.26,2.32,,12.59%,7,0.61,-2.84,0.0,12.95,7.79,0.58,0,0.33,3.77,0.0,6.08,8.15%,135.60%,2.19%,20.59%,12.52%,6.61%,7.86%,0.54,0.52,0.28,0.0,3.75/8.0,8.5/9.0,7.0/12.0,5
TGP,Teekay LNG Partners L.P,Energy,Oil & Gas Midstream,NYSE,USD,12.87,928.26,1.33,,6.87%,6,0.32,-3.3,inf,8.85,8.49,1.52,0,1.58,6.85,0.0,1.75,6.84%,76.50%,2.31%,6.82%,5.12%,5.56%,20.71%,0.81,0.71,0.11,0.0,2.5/8.0,7.0/9.0,8.0/12.0,8
SPH,"Suburban Propane Partners, L.P",Utilities,Utilities-Regulated Gas,NYSE,USD,15.19,956.97,0.66,,6.00%,3,0.91,-2.9,inf,15.67,9.26,4.58,0,0.86,2.11,0.0,1.87,13.82%,216.50%,3.00%,15.46%,6.76%,5.36%,5.48%,0.47,0.24,0.55,17.07,1.5/8.0,5.5/9.0,9.0/12.0,12
GMLP,Golar LNG Partners LP,Energy,Oil & Gas Midstream,NASDAQ,USD,3.43,178.02,1.09,,6.69%,6,0.2,-3.04,inf,8.44,9.74,1.19,0,0.61,6.65,0.0,1.68,24.78%,353.70%,0.26%,0.90%,2.90%,4.19%,1.88%,0.43,0.27,0.14,60.8,1.0/8.0,3.5/9.0,10.0/12.0,12
DKL,"Delek Logistics Partners, LP",Energy,Oil & Gas Midstream,NYSE,USD,38.18,928.0,2.95,,10.93%,6,1.76,-3.26,inf,7.49,8.38,5.21,0,1.65,2.67,0.0,2.68,9.32%,92.80%,9.30%,0.00%,19.12%,12.86%,10.90%,0.96,0.53,0.85,48.11,1.5/8.0,7.5/9.0,7.0/12.0,9
SGU,"Star Group, L.P",Energy,Oil & Gas Midstream,NYSE,USD,9.73,447.58,0.35,,15.15%,3,2.36,-3.48,inf,9.11,4.98,2.54,0,0.31,0.41,0.0,9.2,5.34%,48.10%,6.12%,18.86%,8.98%,3.12%,3.32%,0.66,0.41,1.84,17.86,3.0/8.0,8.5/9.0,11.0/12.0,3
WES,"Western Midstream Partners, LP",Energy,Oil & Gas Midstream,NYSE,USD,15.21,6163.72,3.88,,8.25%,5,0.81,-2.66,inf,11.21,9.48,4.31,0,2.16,5.31,0.0,3.44,12.23%,151.50%,6.14%,31.94%,8.50%,13.85%,24.12%,0.83,0.77,0.25,53.03,1.25/8.0,8.0/9.0,5.0/12.0,7
TCP,"TC PipeLines, LP",Energy,Oil & Gas Midstream,NYSE,USD,31.1,2090.95,0.96,,4.37%,4,0.86,-3.25,inf,7.58,10.37,5.14,0,5.24,12.03,0.0,2.5,8.36%,67.70%,9.28%,42.82%,7.78%,5.41%,66.25%,0.92,0.82,0.14,8.67,2.0/8.0,7.5/9.0,5.0/12.0,8
GLP,Global Partners LP,Energy,Oil & Gas Midstream,NYSE,USD,18.78,565.08,1.45,,8.65%,6,4.97,-2.37,inf,6.11,9.0,2.4,0,0.06,0.22,0.0,1.53,10.12%,73.00%,1.06%,5.81%,6.16%,7.38%,0.21%,1.33,0.57,5.0,29.71,2.75/8.0,4.5/9.0,9.5/12.0,10
HEP,"Holly Energy Partners, L.P",Energy,Oil & Gas Midstream,NYSE,USD,15.12,1491.0,1.14,,6.53%,5,1.03,-2.19,inf,9.07,9.14,5.07,0,2.97,7.41,0.0,3.43,13.49%,131.10%,10.46%,55.63%,12.51%,6.39%,42.21%,1.3,1.19,0.25,0.0,2.0/8.0,7.0/9.0,9.0/12.0,8
HLX,"Helix Energy Solutions Group, Inc",Energy,Oil & Gas Equipment & Services,NYSE,USD,4.51,634.2,3.67,68.13%,1.30%,4,1.1,-2.56,0.37,26.2,9.78,4.6,0,0.85,2.48,0.24,6.18,0.00%,0.00%,2.32%,3.45%,2.79%,13.32%,7.62%,1.54,1.17,0.3,0.0,3.75/8.0,6.0/9.0,7.5/12.0,12
